ArrayID	FileName	Group	Batch	Date	Array	SerumID
IsoArray1PMT250	0000088695_iso_array1_pmt250.gpr	IsotypeArray1	Array1	12.19.2017	88695	Isotype
IsoArray1PMT300	0000088695_iso_array1_pmt300.gpr	IsotypeArray1	Array1	12.19.2018	88695	Isotype
IsoArray1PMT350	0000088695_iso_array1_pmt350.gpr	IsotypeArray1	Array1	12.19.2016	88695	Isotype
IsoArray1PMT400	0000088695_iso_array1_pmt400.gpr	IsotypeArray1	Array1	12.19.2016	88695	Isotype
IsoArray1PMT450	0000088695_iso_array1_pmt450.gpr	IsotypeArray1	Array1	12.19.2017	88695	Isotype
IsoArray1PMT500	0000088695_iso_array1_pmt500.gpr	IsotypeArray1	Array1	12.19.2018	88695	Isotype
IsoArray1PMT550	0000088695_iso_array1_pmt550.gpr	IsotypeArray1	Array1	12.19.2016	88695	Isotype
IsoArray1PMT600	0000088695_iso_array1_pmt600_001.gpr	IsotypeArray1	Array1	12.19.2016	88695	Isotype
IsoArray1PMT650	0000088695_iso_array1_pmt650.gpr	IsotypeArray1	Array1	12.19.2016	88695	Isotype
IsoArray2PMT250	0000088695_iso_array2_pmt250.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT300	0000088695_iso_array2_pmt300.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT350	0000088695_iso_array2_pmt350.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT400	0000088695_iso_array2_pmt400.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT450	0000088695_iso_array2_pmt450.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT500	0000088695_iso_array2_pmt500.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT550	0000088695_iso_array2_pmt550.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT600	0000088695_iso_array2_pmt600.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray2PMT650	0000088695_iso_array2_pmt650.gpr	IsotypeArray2	Array2	12.19.2016	88696	Isotype
IsoArray3PMT250	0000088695_iso_array3_pmt250.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT300	0000088695_iso_array3_pmt300.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT350	0000088695_iso_array3_pmt350.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT400	0000088695_iso_array3_pmt400.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT450	0000088695_iso_array3_pmt450.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT500	0000088695_iso_array3_pmt500.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT550	0000088695_iso_array3_pmt550.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT600	0000088695_iso_array3_pmt600.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
IsoArray3PMT650	0000088695_iso_array3_pmt650.gpr	IsotypeArray3	Array3	12.19.2016	88697	Isotype
